goal	rule	score
lives_in(X4, S4)	lives_in(nella_riverwyn, ashport)	0
located_in(S1, R1)	located_in(stonegate_keep, darian_stoneward)	0
road(thornwood, B10)	road(thornwood, sunreach)	0
parent(iris_lunaris, Z4)	parent(iris_lunaris, cassian_lunaris)	0
parent(ren_emberfall, Z4)	parent(ren_emberfall, theron_lunaris)	0
serves(X9, L19)	serves(L18, cedric_thornvale)	0
serves(X12, L112)	serves(L111, owen_stoneward)	0
parent(darian_stoneward, Z4)	parent(darian_stoneward, orion_solaris)	0
serves(darian_stoneward, L111)	serves(darian_stoneward, cedric_thornvale)	0
within_region(eastern_realm, L3)	within_region(A, B) :- part_of(A, B)	0
located_in(S7, R7)	located_in(granite_bay, cinderlands)	0
serves(X11, L111)	serves(toren_emberfall, leon_lunaris)	0
serves(selene_lunaris, L112)	serves(selene_lunaris, seris_solaris)	0
resident_of(pyr_emberfall, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
parent(liora_solaris, Z2)	parent(liora_solaris, cedric_thornvale)	0
parent(sylvi_emberfall, Z4)	parent(sylvi_emberfall, myra_emberfall)	0
parent(liora_solaris, Z4)	parent(liora_solaris, cassian_lunaris)	0
parent(ren_emberfall, Z11)	parent(ren_emberfall, rowan_thornvale)	0
parent(selene_lunaris, Z12)	parent(selene_lunaris, petra_stoneward)	0
parent(seris_solaris, Z10)	parent(seris_solaris, cedric_thornvale)	0
lives_in(X5, S5)	lives_in(darius_solaris, moonwatch_castle)	0
parent(selene_lunaris, Z10)	parent(selene_lunaris, maris_riverwyn)	0
lives_in(iris_lunaris, S4)	lives_in(iris_lunaris, goldmarket)	0
lives_in(maeve_solaris, S2)	lives_in(maeve_solaris, emberfall_hold)	0
serves(aelric_solaris, L12)	serves(aelric_solaris, iris_lunaris)	0
serves(X5, L15)	serves(selene_lunaris, owen_stoneward)	0
located_in(S3, R13)	located_in(mistharbor, northern_realm)	0
serves(X2, L12)	serves(maris_riverwyn, owen_stoneward)	0
located_in(S4, R14)	located_in(ashport, moonfen)	0
located_in(S7, R17)	located_in(sunspire_keep, stonecoast)	0
parent(pyr_emberfall, Z10)	parent(pyr_emberfall, cedric_thornvale)	0
parent(liora_solaris, Z8)	parent(liora_solaris, darian_stoneward)	0
serves(selene_lunaris, L15)	serves(selene_lunaris, mira_riverwyn)	0
parent(darius_solaris, Z11)	parent(darius_solaris, toren_emberfall)	0
parent(seris_solaris, Z2)	parent(seris_solaris, alina_riverwyn)	0
located_in(S0, R10)	located_in(sunspire_keep, eastern_realm)	0
serves(X5, L15)	serves(darian_stoneward, iris_lunaris)	0
parent(nella_riverwyn, Z11)	parent(nella_riverwyn, isolde_thornvale)	0
serves(darian_stoneward, L112)	serves(darian_stoneward, iris_lunaris)	0
resident_of(C, central_realm)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
member_of_house(X0, Z)	member_of_house(darius_solaris, sunreach)	0
lives_in(X2, S2)	lives_in(rhea_riverwyn, mistharbor)	0
parent(liora_solaris, Z9)	parent(liora_solaris, galen_stoneward)	0
lives_in(X4, S4)	lives_in(rhea_riverwyn, sunspire_keep)	0
located_in(S1, R1)	located_in(sunspire_keep, maeve_solaris)	0
lives_in(lyra_thornvale, S4)	lives_in(lyra_thornvale, reedcross)	0
serves(X12, L112)	serves(aelric_solaris, briar_thornvale)	0
lives_in(X2, S2)	lives_in(alina_riverwyn, stonegate_keep)	0
lives_in(X4, S4)	lives_in(darius_solaris, rivermeet_hall)	0
resident_of(galen_stoneward, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
lives_in(X7, S7)	lives_in(mira_riverwyn, granite_bay)	0
parent(seris_solaris, Z12)	parent(seris_solaris, cassian_lunaris)	0
parent(ash_thornvale, Z12)	parent(ash_thornvale, petra_stoneward)	0
part_of(R17, moonfen)	part_of(cinderlands, moonfen)	0
lives_in(X2, S2)	lives_in(darius_solaris, mistharbor)	0
serves(X13, L113)	serves(aelric_solaris, darius_solaris)	0
serves(L15, L25)	serves(maris_riverwyn, Z)	0
resident_of(rhea_riverwyn, riverlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	0
parent(caelan_solaris, Z10)	parent(caelan_solaris, cassian_lunaris)	0
parent(rhea_riverwyn, Z3)	parent(rhea_riverwyn, cedric_thornvale)	0
lives_in(X4, S4)	lives_in(kellan_riverwyn, goldmarket)	0
serves(X12, L112)	serves(lyra_thornvale, cassian_lunaris)	0
lives_in(X8, S8)	lives_in(pyr_emberfall, goldmarket)	0
lives_in(X3, S3)	lives_in(vessa_lunaris, emberfall_hold)	0
parent(kara_stoneward, Z9)	parent(kara_stoneward, maeve_solaris)	0
parent(vessa_lunaris, brom_emberfall)	parent(vessa_lunaris, brom_emberfall)	0
lives_in(X4, S4)	lives_in(lyra_thornvale, greenhollow)	0
serves(X6, L16)	serves(maris_riverwyn, evan_riverwyn)	0
located_in(S3, R13)	located_in(rivermeet_hall, central_realm)	0
lives_in(X8, S8)	lives_in(nyra_lunaris, granite_bay)	0
part_of(R13, sunreach)	part_of(cinderlands, sunreach)	0
part_of(R15, eastern_realm)	part_of(moonfen, eastern_realm)	0
parent(bram_stoneward, Z4)	parent(bram_stoneward, aelric_solaris)	0
parent(caelan_solaris, Z11)	parent(caelan_solaris, cedric_thornvale)	0
ancestor(nash_stoneward, L3)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
ancestor(maeve_solaris, R1)	ancestor(X, Y) :- parent(X, Y)	0
within_region(thornwood, L3)	within_region(A, C) :- part_of(A, B), within_region(B, C)	0
road(sunreach, B10)	road(sunreach, thornwood)	0
serves(L19, L29)	serves(darian_stoneward, maris_riverwyn)	0
serves(X5, L15)	serves(toren_emberfall, iris_lunaris)	0
serves(selene_lunaris, L12)	serves(selene_lunaris, talia_lunaris)	0
parent(seris_solaris, Z3)	parent(seris_solaris, cassian_lunaris)	0
member_of_house(cassian_lunaris, Z)	member_of_house(cassian_lunaris, northern_realm)	0
parent(bram_stoneward, Z3)	parent(bram_stoneward, myra_emberfall)	0
fealty_chain(selene_lunaris, H1)	fealty_chain(X, L2) :- serves(X, L1), serves(L1, L2)	0
serves(X10, L110)	serves(selene_lunaris, evan_riverwyn)	0
serves(X2, L12)	serves(lyra_thornvale, iris_lunaris)	0
lives_in(X4, S4)	lives_in(alina_riverwyn, thornvale_manor)	0
ancestor(bram_stoneward, R)	ancestor(X, Y) :- parent(X, Y)	0
lives_in(X7, S7)	lives_in(theron_lunaris, reedcross)	0
parent(ash_thornvale, Z4)	parent(ash_thornvale, darian_stoneward)	0
ancestor(cedric_thornvale, R)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
resident_of(darius_solaris, riverlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
parent(nella_riverwyn, Z4)	parent(nella_riverwyn, galen_stoneward)	0
serves(selene_lunaris, L19)	serves(selene_lunaris, mira_riverwyn)	0
serves(toren_emberfall, L19)	serves(toren_emberfall, rhea_riverwyn)	0
lives_in(X7, S7)	lives_in(tessa_stoneward, reedcross)	0
serves(maris_riverwyn, L19)	serves(maris_riverwyn, bram_stoneward)	0
serves(aelric_solaris, L112)	serves(aelric_solaris, kellan_riverwyn)	0
parent(kellan_riverwyn, Z12)	parent(kellan_riverwyn, tessa_stoneward)	0
parent(maris_riverwyn, Z11)	parent(maris_riverwyn, nyra_lunaris)	0
lives_in(cassian_lunaris, S3)	lives_in(cassian_lunaris, stonegate_keep)	0
resident_of(lyra_thornvale, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	0
lives_in(X2, S2)	lives_in(kellan_riverwyn, moonwatch_castle)	0
parent(sylvi_emberfall, Z12)	parent(sylvi_emberfall, isolde_thornvale)	0
lives_in(myra_emberfall, S4)	lives_in(myra_emberfall, rivermeet_hall)	0
connected_region(central_realm, moonfen)	connected_region(A, B) :- road(A, B)	0
member_of_house(nash_stoneward, house_emberfall)	member_of_house(nash_stoneward, house_emberfall)	0
serves(toren_emberfall, L12)	serves(toren_emberfall, myra_emberfall)	0
located_in(S3, R3)	located_in(greenhollow, riverlands)	0
lives_in(darius_solaris, S5)	lives_in(darius_solaris, thornvale_manor)	0
serves(selene_lunaris, L19)	serves(selene_lunaris, vessa_lunaris)	0
lives_in(X4, S4)	lives_in(petra_stoneward, rivermeet_hall)	0
serves(X13, L113)	serves(aelric_solaris, evan_riverwyn)	0
lives_in(cedric_thornvale, S3)	lives_in(cedric_thornvale, granite_bay)	0
serves(L113, L213)	serves(aelric_solaris, maris_riverwyn)	0
serves(X11, L111)	serves(selene_lunaris, evan_riverwyn)	0
parent(Z1, galen_stoneward)	parent(Z1, galen_stoneward)	0
serves(X13, L113)	serves(darian_stoneward, briar_thornvale)	0
lives_in(X4, S4)	lives_in(pyr_emberfall, rivermeet_hall)	0
overlord(house_lunaris, A)	overlord(A, C) :- sworn_to(A, B), overlord(B, C)	0
part_of(R19, R9)	part_of(moonfen, riverlands)	0
parent(bram_stoneward, Z4)	parent(bram_stoneward, cedric_thornvale)	0
parent(garrick_emberfall, Z12)	parent(garrick_emberfall, brom_emberfall)	0
parent(wren_thornvale, Z12)	parent(wren_thornvale, petra_stoneward)	0
ancestor(faye_thornvale, R)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
parent(kellan_riverwyn, Z12)	parent(kellan_riverwyn, maeve_solaris)	0
parent(Z0, elara_solaris)	parent(Z0, elara_solaris)	0
serves(L10, L11)	serves(L10, nella_riverwyn)	0
serves(L12, L13)	serves(L12, rhea_riverwyn)	0
parent(aelric_solaris, Z4)	parent(aelric_solaris, nyra_lunaris)	0
parent(talia_lunaris, Z12)	parent(talia_lunaris, galen_stoneward)	0
parent(talia_lunaris, Z4)	parent(talia_lunaris, cedric_thornvale)	0
parent(pyr_emberfall, Z3)	parent(pyr_emberfall, brom_emberfall)	0
road(stonecoast, B6)	road(stonecoast, stonecoast)	0
parent(Z1, Z2)	parent(Z1, kaela_emberfall)	0
seat_of(house_thornvale, S2)	seat_of(house_thornvale, granite_bay)	0
serves(X0, L10)	serves(A, evan_riverwyn)	0
serves(toren_emberfall, L19)	serves(toren_emberfall, iris_lunaris)	0
parent(ren_emberfall, Z4)	parent(ren_emberfall, darian_stoneward)	0
resident_of(G, thornwood)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	0
serves(X8, L18)	serves(selene_lunaris, cedric_thornvale)	0
located_in(S3, R3)	located_in(thornvale_manor, cinderlands)	0
member_of_house(X2, house_emberfall)	member_of_house(aelric_solaris, house_emberfall)	0
parent(darian_stoneward, Z3)	parent(darian_stoneward, theron_lunaris)	0
parent(seris_solaris, Z4)	parent(seris_solaris, darian_stoneward)	0
road(thornwood, B12)	road(thornwood, sunreach)	0
parent(seris_solaris, Z11)	parent(seris_solaris, orion_solaris)	0
seat_of(H2, S2)	seat_of(house_riverwyn, stonegate_keep)	0
serves(L19, L110)	serves(L19, sylvi_emberfall)	0
serves(X13, L113)	serves(darian_stoneward, faye_thornvale)	0
member_of_house(X2, house_emberfall)	member_of_house(nash_stoneward, house_emberfall)	0
serves(X13, L113)	serves(selene_lunaris, iris_lunaris)	0
lives_in(orion_solaris, S7)	lives_in(orion_solaris, ashport)	0
parent(vessa_lunaris, Z9)	parent(vessa_lunaris, maris_riverwyn)	0
parent(darius_solaris, Z12)	parent(darius_solaris, myra_emberfall)	0
serves(darian_stoneward, L112)	serves(darian_stoneward, kara_stoneward)	0
connected_region(riverlands, R)	connected_region(A, B) :- road(A, B)	0
lives_in(X8, S8)	lives_in(kellan_riverwyn, emberfall_hold)	0
serves(darian_stoneward, L18)	serves(darian_stoneward, garrick_emberfall)	0
ancestor(leon_lunaris, R)	ancestor(X, Y) :- parent(X, Y)	0
located_in(S2, R12)	located_in(thornvale_manor, southern_realm)	0
part_of(R13, R3)	part_of(cinderlands, thornwood)	0
parent(iris_lunaris, Z9)	parent(iris_lunaris, toren_emberfall)	0
ancestor(vessa_lunaris, C)	ancestor(X, Y) :- parent(X, Y)	0
parent(liora_solaris, Z2)	parent(liora_solaris, maeve_solaris)	0
parent(darius_solaris, Z7)	parent(darius_solaris, rowan_thornvale)	0
ancestor(ash_thornvale, S)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
lives_in(lyra_thornvale, S4)	lives_in(lyra_thornvale, stonegate_keep)	0
located_in(thornvale_manor, R12)	located_in(thornvale_manor, western_realm)	0
ancestor(owen_stoneward, B)	ancestor(X, Y) :- parent(X, Y)	0
lives_in(X8, S8)	lives_in(brom_emberfall, mistharbor)	0
resident_of(thornwood, thornwood)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	0
serves(maris_riverwyn, L112)	serves(maris_riverwyn, evan_riverwyn)	0
parent(seris_solaris, Z10)	parent(seris_solaris, kaela_emberfall)	0
lives_in(X4, S4)	lives_in(caelan_solaris, rivermeet_hall)	0
parent(cassian_lunaris, Z2)	parent(cassian_lunaris, maris_riverwyn)	0
lives_in(kara_stoneward, S4)	lives_in(kara_stoneward, stonegate_keep)	0
lives_in(X8, S8)	lives_in(faye_thornvale, ashport)	0
parent(sylvi_emberfall, Z5)	parent(sylvi_emberfall, lyra_thornvale)	0
parent(leon_lunaris, Z9)	parent(leon_lunaris, orion_solaris)	0
parent(maeve_solaris, Z10)	parent(maeve_solaris, myra_emberfall)	0
parent(Z1, kaela_emberfall)	parent(Z1, kaela_emberfall)	0
lives_in(X7, S7)	lives_in(myra_emberfall, reedcross)	0
located_in(S3, R3)	located_in(ashport, riverlands)	0
parent(cedric_thornvale, Z10)	parent(cedric_thornvale, lyra_thornvale)	0
parent(talia_lunaris, Z11)	parent(talia_lunaris, nyra_lunaris)	0
serves(toren_emberfall, L12)	serves(toren_emberfall, leon_lunaris)	0
serves(X12, L112)	serves(maris_riverwyn, talia_lunaris)	0
parent(bram_stoneward, Z3)	parent(bram_stoneward, brom_emberfall)	0
fealty_chain(lyra_thornvale, Z)	fealty_chain(X, L2) :- serves(X, L1), serves(L1, L2)	0
parent(kara_stoneward, Z3)	parent(kara_stoneward, maeve_solaris)	0
road(northern_realm, stonecoast)	road(northern_realm, stonecoast)	0
serves(X8, L18)	serves(lyra_thornvale, kara_stoneward)	0
part_of(R19, cinderlands)	part_of(thornwood, cinderlands)	0
parent(wren_thornvale, Z3)	parent(wren_thornvale, theron_lunaris)	0
lives_in(X4, S4)	lives_in(rowan_thornvale, mistharbor)	0
adult(petra_stoneward)	adult(X) :- age_group(X, elder)	0
parent(garrick_emberfall, Z12)	parent(garrick_emberfall, aelric_solaris)	0
parent(ash_thornvale, Z4)	parent(ash_thornvale, nyra_lunaris)	0
lives_in(X5, S5)	lives_in(darius_solaris, reedcross)	0
parent(liora_solaris, brom_emberfall)	parent(liora_solaris, brom_emberfall)	0
located_in(S1, R11)	located_in(greenhollow, central_realm)	0
lives_in(X3, S3)	lives_in(kara_stoneward, ashport)	0
lives_in(X2, S2)	lives_in(aelric_solaris, mistharbor)	0
lives_in(X7, S7)	lives_in(ren_emberfall, mistharbor)	0
lives_in(aelric_solaris, S3)	lives_in(aelric_solaris, rivermeet_hall)	0
ancestor(bram_stoneward, C)	ancestor(X, Y) :- parent(X, Y)	0
parent(leon_lunaris, Z11)	parent(leon_lunaris, nyra_lunaris)	0
lives_in(caelan_solaris, S2)	lives_in(caelan_solaris, stonegate_keep)	0
lives_in(X2, S2)	lives_in(seris_solaris, emberfall_hold)	0
parent(evan_riverwyn, Z3)	parent(evan_riverwyn, aelric_solaris)	0
parent(aelric_solaris, Z0)	parent(aelric_solaris, myra_emberfall)	0
parent(ash_thornvale, Z12)	parent(ash_thornvale, orion_solaris)	0
serves(X2, L12)	serves(aelric_solaris, nash_stoneward)	0
parent(toren_emberfall, Z4)	parent(toren_emberfall, evan_riverwyn)	0
member_of_house(X0, Z)	member_of_house(cassian_lunaris, moonfen)	0
parent(darian_stoneward, Z11)	parent(darian_stoneward, theron_lunaris)	0
serves(L111, L112)	serves(L111, caelan_solaris)	0
ancestor(rhea_riverwyn, A)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
part_of(R14, cinderlands)	part_of(thornwood, cinderlands)	0
parent(lyra_thornvale, Z3)	parent(lyra_thornvale, nyra_lunaris)	0
located_in(S7, R17)	located_in(rivermeet_hall, central_realm)	0
lives_in(corin_riverwyn, S4)	lives_in(corin_riverwyn, mistharbor)	0
parent(maeve_solaris, Z11)	parent(maeve_solaris, cedric_thornvale)	0
parent(talia_lunaris, tessa_stoneward)	parent(talia_lunaris, tessa_stoneward)	0
lives_in(evan_riverwyn, S2)	lives_in(evan_riverwyn, greenhollow)	0
located_in(S0, R10)	located_in(thornvale_manor, eastern_realm)	0
serves(aelric_solaris, L111)	serves(aelric_solaris, kellan_riverwyn)	0
serves(darian_stoneward, L112)	serves(darian_stoneward, bram_stoneward)	0
parent(garrick_emberfall, Z11)	parent(garrick_emberfall, theron_lunaris)	0
road(cinderlands, stonecoast)	road(cinderlands, stonecoast)	0
parent(seris_solaris, Z4)	parent(seris_solaris, corin_riverwyn)	0
serves(maris_riverwyn, L112)	serves(maris_riverwyn, nella_riverwyn)	0
serves(X13, L113)	serves(selene_lunaris, maeve_solaris)	0
serves(X10, L110)	serves(L19, ash_thornvale)	0
lives_in(X8, S8)	lives_in(kara_stoneward, greenhollow)	0
adult(talia_lunaris)	adult(X) :- age_group(X, elder)	0
serves(X9, L19)	serves(darian_stoneward, petra_stoneward)	0
road(sunreach, B9)	road(sunreach, thornwood)	0
parent(toren_emberfall, Z10)	parent(toren_emberfall, brom_emberfall)	0
parent(aelric_solaris, Z4)	parent(aelric_solaris, lyra_thornvale)	0
lives_in(X4, S4)	lives_in(talia_lunaris, thornvale_manor)	0
road(thornwood, thornwood)	road(thornwood, thornwood)	0
located_in(S1, R11)	located_in(thornvale_manor, sunreach)	0
parent(bram_stoneward, Z5)	parent(bram_stoneward, petra_stoneward)	0
parent(vessa_lunaris, Z2)	parent(vessa_lunaris, myra_emberfall)	0
serves(darian_stoneward, L111)	serves(darian_stoneward, caelan_solaris)	0
serves(X12, L112)	serves(aelric_solaris, caelan_solaris)	0
serves(L19, L110)	serves(L19, myra_emberfall)	0
parent(myra_emberfall, Z4)	parent(myra_emberfall, selene_lunaris)	0
lives_in(X2, S2)	lives_in(liora_solaris, greenhollow)	0
located_in(S6, R16)	located_in(emberfall_hold, central_realm)	0
parent(maeve_solaris, Z10)	parent(maeve_solaris, corin_riverwyn)	0
located_in(S6, R16)	located_in(sunspire_keep, southern_realm)	0
serves(X3, L13)	serves(L12, cassian_lunaris)	0
parent(evan_riverwyn, Z4)	parent(evan_riverwyn, orion_solaris)	0
parent(garrick_emberfall, Z11)	parent(garrick_emberfall, brom_emberfall)	0
parent(pyr_emberfall, Z10)	parent(pyr_emberfall, maeve_solaris)	0
lives_in(X3, S3)	lives_in(vessa_lunaris, reedcross)	0
parent(lyra_thornvale, Z4)	parent(lyra_thornvale, darian_stoneward)	0
resident_of(nash_stoneward, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
road(central_realm, B5)	road(central_realm, riverlands)	0
resident_of(central_realm, central_realm)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
parent(C, Z1)	parent(C, kaela_emberfall)	0
serves(X0, L10)	serves(X, ash_thornvale)	0
serves(maris_riverwyn, L19)	serves(maris_riverwyn, nash_stoneward)	0
located_in(emberfall_hold, R12)	located_in(emberfall_hold, moonfen)	0
parent(seris_solaris, Z12)	parent(seris_solaris, brom_emberfall)	0
located_in(S6, R16)	located_in(granite_bay, eastern_realm)	0
lives_in(galen_stoneward, S3)	lives_in(galen_stoneward, greenhollow)	0
seat_of(house_thornvale, sunspire_keep)	seat_of(house_thornvale, sunspire_keep)	0
serves(X11, L111)	serves(darian_stoneward, wren_thornvale)	0
lives_in(X7, S7)	lives_in(brom_emberfall, rivermeet_hall)	0
lives_in(X3, S3)	lives_in(pyr_emberfall, mistharbor)	0
located_in(thornvale_manor, R12)	located_in(thornvale_manor, riverlands)	0
parent(darius_solaris, Z10)	parent(darius_solaris, orion_solaris)	0
ancestor(selene_lunaris, R1)	ancestor(X, Y) :- parent(X, Y)	0
ancestor(darius_solaris, S)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
parent(toren_emberfall, Z9)	parent(toren_emberfall, myra_emberfall)	0
lives_in(bram_stoneward, S4)	lives_in(bram_stoneward, goldmarket)	0
lives_in(X2, S2)	lives_in(orion_solaris, emberfall_hold)	0
parent(vessa_lunaris, Z12)	parent(vessa_lunaris, brom_emberfall)	0
lives_in(X4, S4)	lives_in(iris_lunaris, goldmarket)	0
fealty_chain(toren_emberfall, H1)	fealty_chain(X, L) :- serves(X, L)	0
parent(rhea_riverwyn, Z12)	parent(rhea_riverwyn, aelric_solaris)	0
part_of(R15, R5)	part_of(riverlands, riverlands)	0
parent(briar_thornvale, Z10)	parent(briar_thornvale, maris_riverwyn)	0
parent(iris_lunaris, Z11)	parent(iris_lunaris, kaela_emberfall)	0
lives_in(liora_solaris, S7)	lives_in(liora_solaris, thornvale_manor)	0
ancestor(cassian_lunaris, B)	ancestor(X, Y) :- parent(X, Y)	0
parent(darian_stoneward, Z12)	parent(darian_stoneward, tessa_stoneward)	0
lives_in(cedric_thornvale, S3)	lives_in(cedric_thornvale, moonwatch_castle)	0
parent(caelan_solaris, Z8)	parent(caelan_solaris, petra_stoneward)	0
serves(maris_riverwyn, L16)	serves(maris_riverwyn, wren_thornvale)	0
parent(vessa_lunaris, Z12)	parent(vessa_lunaris, alina_riverwyn)	0
lives_in(faye_thornvale, S2)	lives_in(faye_thornvale, emberfall_hold)	0
parent(evan_riverwyn, nyra_lunaris)	parent(evan_riverwyn, nyra_lunaris)	0
located_in(S5, R15)	located_in(moonwatch_castle, stonecoast)	0
road(eastern_realm, B5)	road(eastern_realm, thornwood)	0
located_in(S5, R15)	located_in(goldmarket, stonecoast)	0
parent(pyr_emberfall, Z11)	parent(pyr_emberfall, cassian_lunaris)	0
serves(X11, L111)	serves(lyra_thornvale, leon_lunaris)	0
member_of_house(X4, house_stoneward)	member_of_house(leon_lunaris, house_stoneward)	0
located_in(S3, R13)	located_in(mistharbor, eastern_realm)	0
serves(X5, L15)	serves(toren_emberfall, faye_thornvale)	0
parent(lyra_thornvale, Z10)	parent(lyra_thornvale, maris_riverwyn)	0
parent(owen_stoneward, Z11)	parent(owen_stoneward, evan_riverwyn)	0
located_in(S9, R9)	located_in(reedcross, moonfen)	0
ancestor(cassian_lunaris, R2)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	0
parent(darius_solaris, Z11)	parent(darius_solaris, cedric_thornvale)	0
lives_in(rhea_riverwyn, S4)	lives_in(rhea_riverwyn, moonwatch_castle)	0
parent(kara_stoneward, Z7)	parent(kara_stoneward, theron_lunaris)	0
serves(X13, L113)	serves(aelric_solaris, nella_riverwyn)	0
lives_in(X2, S2)	lives_in(ren_emberfall, sunspire_keep)	0
serves(X2, L12)	serves(aelric_solaris, leon_lunaris)	0
parent(sylvi_emberfall, Z10)	parent(sylvi_emberfall, corin_riverwyn)	0
lives_in(X4, S4)	lives_in(toren_emberfall, thornvale_manor)	0
parent(liora_solaris, Z8)	parent(liora_solaris, maris_riverwyn)	0
parent(vessa_lunaris, Z10)	parent(vessa_lunaris, brom_emberfall)	0
parent(pyr_emberfall, Z4)	parent(pyr_emberfall, evan_riverwyn)	0
lives_in(X7, S7)	lives_in(mira_riverwyn, emberfall_hold)	0
lives_in(X8, S8)	lives_in(sylvi_emberfall, moonwatch_castle)	0
road(stonecoast, B8)	road(stonecoast, sunreach)	0
fealty_chain(selene_lunaris, A)	fealty_chain(X, L2) :- serves(X, L1), serves(L1, L2)	0
parent(lyra_thornvale, Z3)	parent(lyra_thornvale, kaela_emberfall)	0
located_in(S3, R3)	located_in(greenhollow, cinderlands)	0
lives_in(X4, S4)	lives_in(kellan_riverwyn, granite_bay)	0
parent(cedric_thornvale, Z2)	parent(cedric_thornvale, galen_stoneward)	0
serves(X5, L15)	serves(aelric_solaris, owen_stoneward)	0
parent(ash_thornvale, Z12)	parent(ash_thornvale, brom_emberfall)	0
part_of(R17, R7)	part_of(riverlands, cinderlands)	0
lives_in(X7, S7)	lives_in(wren_thornvale, goldmarket)	0
lives_in(mira_riverwyn, S3)	lives_in(mira_riverwyn, emberfall_hold)	0
located_in(S3, R13)	located_in(greenhollow, riverlands)	0
serves(lyra_thornvale, L12)	serves(lyra_thornvale, petra_stoneward)	0
parent(evan_riverwyn, isolde_thornvale)	parent(evan_riverwyn, isolde_thornvale)	0
serves(X13, L113)	serves(aelric_solaris, liora_solaris)	0
parent(bram_stoneward, kaela_emberfall)	parent(bram_stoneward, kaela_emberfall)	0
ancestor(petra_stoneward, R2)	ancestor(X, Y) :- parent(X, Y)	0
lives_in(cassian_lunaris, S7)	lives_in(cassian_lunaris, emberfall_hold)	0
parent(darius_solaris, alina_riverwyn)	parent(darius_solaris, alina_riverwyn)	0
member_of_house(X2, house_emberfall)	member_of_house(owen_stoneward, house_emberfall)	0
member_of_house(darius_solaris, house_emberfall)	member_of_house(darius_solaris, house_emberfall)	0
parent(seris_solaris, nyra_lunaris)	parent(seris_solaris, nyra_lunaris)	0
serves(L111, L112)	serves(L111, kellan_riverwyn)	0
member_of_house(X2, house_emberfall)	member_of_house(kellan_riverwyn, house_emberfall)	0
parent(Z0, Z1)	parent(Z0, kaela_emberfall)	0
member_of_house(X5, house_solaris)	member_of_house(ash_thornvale, house_solaris)	0
lives_in(X4, S4)	lives_in(seris_solaris, stonegate_keep)	0
lives_in(X2, S2)	lives_in(ren_emberfall, granite_bay)	0
serves(X2, L12)	serves(darian_stoneward, evan_riverwyn)	0
located_in(S9, R9)	located_in(emberfall_hold, thornwood)	0
sworn_to(house_stoneward, house_stoneward)	sworn_to(house_stoneward, house_stoneward)	0
parent(mira_riverwyn, Z12)	parent(mira_riverwyn, alina_riverwyn)	0
member_of_house(X5, house_solaris)	member_of_house(theron_lunaris, house_solaris)	0
parent(cassian_lunaris, Z12)	parent(cassian_lunaris, isolde_thornvale)	0
parent(owen_stoneward, Z11)	parent(owen_stoneward, theron_lunaris)	0
serves(X11, L111)	serves(maris_riverwyn, liora_solaris)	0
located_in(S5, R15)	located_in(greenhollow, stonecoast)	0
parent(ash_thornvale, Z3)	parent(ash_thornvale, lyra_thornvale)	0
part_of(R15, R5)	part_of(cinderlands, sunreach)	0
resident_of(mira_riverwyn, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	0
lives_in(X8, S8)	lives_in(faye_thornvale, moonwatch_castle)	0
ancestor(caelan_solaris, A)	ancestor(X, Y) :- parent(X, Y)	0
lives_in(X7, S7)	lives_in(rhea_riverwyn, ashport)	0
parent(evan_riverwyn, Z4)	parent(evan_riverwyn, isolde_thornvale)	0
parent(cassian_lunaris, Z11)	parent(cassian_lunaris, maris_riverwyn)	0
parent(wren_thornvale, Z10)	parent(wren_thornvale, isolde_thornvale)	0
part_of(R17, R7)	part_of(cinderlands, riverlands)	0
parent(Z2, Z3)	parent(Z2, orion_solaris)	0
serves(X9, L19)	serves(maris_riverwyn, briar_thornvale)	0
lives_in(X5, S5)	lives_in(northern_realm, reedcross)	0
lives_in(X4, S4)	lives_in(vessa_lunaris, greenhollow)	0
lives_in(X7, S7)	lives_in(garrick_emberfall, thornvale_manor)	0
road(western_realm, thornwood)	road(western_realm, thornwood)	0
serves(X0, L10)	serves(X, cassian_lunaris)	0
serves(maris_riverwyn, L112)	serves(maris_riverwyn, bram_stoneward)	0
